N,contract,rate,q,sigma,maturity,max_abs_x3_difference,max_ulp_x3_difference,signed_mean_x3_difference,positive_count,negative_count,worst_payload,formerly_hard_tail
57,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,350,1.0687145612919835e-12,1733,1668,2730,yes
57,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,76,6.0759064446358479e-11,1835,1565,2730,yes
57,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,22,2.8562180398594705e-11,1756,1614,2730,yes
57,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,723,1.1322734416729929e-11,1739,1642,8191,yes
58,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,100,1.2764442280932542e-12,1783,1639,2730,yes
58,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,59,4.0700415260275236e-11,1752,1536,2730,yes
58,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,100,2.5017335425481235e-11,1710,1546,2730,yes
58,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,617,1.8424720082954593e-11,1795,1686,2197,no
59,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,317,1.5431753097594481e-13,1725,1670,2730,yes
59,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,450,1.3760666217610407e-11,1733,1641,2730,yes
59,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,29,2.6690885612801196e-11,1777,1640,8191,yes
59,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,404,2.2939483645956216e-11,1789,1649,2730,yes
60,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,158,2.4964752487477426e-12,1775,1660,8191,yes
60,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,58,2.4060142767012849e-11,1703,1572,2730,yes
60,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,15,2.9153540692661295e-11,1836,1617,2730,yes
60,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,189,3.0280083995748441e-12,1752,1717,8191,yes
61,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,230,6.6999149284097115e-12,1763,1558,2730,yes
61,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,49,9.3997865047157347e-12,1757,1613,2730,yes
61,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,9,6.3114513615403212e-12,1681,1612,2730,yes
61,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,286,1.2291889728288652e-11,1786,1738,2730,yes
62,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,431,8.4965194602215632e-13,1709,1657,2730,yes
62,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,3114,2.7706855039444367e-11,1757,1532,2730,yes
62,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,9,1.6021184379155784e-11,1703,1561,2730,yes
62,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,419,3.5770622575093114e-12,1733,1650,8191,yes
63,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,624,1.5425369315202886e-12,1717,1710,8191,yes
63,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,60,-1.7237766769540031e-11,1703,1716,0,yes
63,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,16,3.5079605886778609e-11,1813,1620,8191,yes
63,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,75,1.1901181429241348e-11,1759,1680,0,yes
64,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,156,1.831139406771598e-12,1672,1611,2730,yes
64,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,117,1.6229823041058467e-11,1685,1560,2730,yes
64,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,24,2.6092628058194123e-11,1717,1545,8191,yes
64,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,112,1.2993384146398057e-11,1743,1648,2730,yes
65,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,76,3.2862688265078432e-12,1768,1628,2730,yes
65,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,935,2.6323745266898513e-11,1716,1613,2730,yes
65,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,16,2.9303642845590616e-12,1700,1601,8191,yes
65,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,929,1.6338048969277708e-11,1725,1628,0,yes
66,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,300,3.0494773373135331e-12,1744,1578,2730,yes
66,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,114,2.0074997220120849e-11,1775,1638,2730,yes
66,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,12,2.496206019664271e-11,1780,1634,1621,no
66,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,1190,-7.9632550553654369e-12,1685,1787,2730,yes
67,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,559,5.8946163922213302e-12,1835,1645,8191,yes
67,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,57,1.8324952666404215e-11,1718,1568,8191,yes
67,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,20,2.7945479263991047e-11,1734,1547,2730,yes
67,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,424,2.6448510048737717e-11,1800,1629,2730,yes
68,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,139,6.414382913710881e-13,1765,1662,0,yes
68,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,94,-6.7748862075944771e-12,1738,1654,0,yes
68,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,27,2.7215868447783009e-11,1792,1560,2730,yes
68,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,133,-2.3835239337799408e-12,1698,1724,2730,yes
69,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,228,5.3172535818823974e-12,1748,1582,8191,yes
69,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,87,4.753507309995797e-11,1799,1595,2730,yes
69,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,47,3.975673956713166e-11,1776,1582,8191,yes
69,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,1019,2.3296121975935336e-11,1783,1680,1621,no
70,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,224,2.3608059951385485e-12,1798,1655,2730,yes
70,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,44,5.0793813599625537e-12,1767,1627,0,yes
70,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,389,3.2721001255731075e-11,1792,1573,2730,yes
70,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,133,-4.8044901390653649e-13,1687,1716,2730,yes
71,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,112,2.920386155125243e-12,1778,1600,2730,yes
71,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,66,8.8183904622951559e-12,1747,1653,0,yes
71,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,95,1.973714941483351e-11,1735,1600,8191,yes
71,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,86,1.8557738679092495e-11,1774,1658,0,yes
72,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,447,2.0314982335234433e-12,1728,1625,2730,yes
72,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,2127,1.3494773874744848e-11,1684,1608,2730,yes
72,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,53,2.7115878986627706e-11,1740,1631,2730,yes
72,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,2299,1.2143997613067725e-11,1761,1639,2730,yes
73,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,1333,2.4688266296764294e-12,1799,1633,2730,yes
73,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,130,7.0919103922761906e-12,1715,1587,8191,yes
73,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,17,2.7848223727033883e-11,1744,1563,8191,yes
73,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,478,1.6135676128570253e-11,1751,1716,1621,no
74,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,188,4.3048897779840445e-12,1811,1624,2730,yes
74,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,67,1.4329981645744283e-11,1744,1625,8191,yes
74,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,38,3.0370206349772388e-11,1804,1605,2730,yes
74,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,78,1.9523369032548032e-11,1795,1622,8191,yes
75,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,200,5.6444293683455271e-12,1768,1582,0,yes
75,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,121,5.9609678304539671e-12,1724,1603,0,yes
75,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,42,1.6003864899971632e-11,1737,1581,0,yes
75,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,71,5.9063032242789859e-12,1760,1722,1621,no
76,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,200,2.5686050508788583e-12,1769,1623,8191,yes
76,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,1934,3.6623272123281758e-11,1789,1582,8191,yes
76,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,73,2.5222282595827039e-11,1737,1607,2730,yes
76,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,438,8.9218632481902205e-12,1734,1740,0,yes
77,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,299,2.3906553819896814e-12,1766,1611,2730,yes
77,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,120,1.8605783580483148e-11,1748,1621,2730,yes
77,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,157,-3.2786967585352045e-13,1741,1646,170,yes
77,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,199,1.2668643911695199e-11,1809,1693,2730,yes
78,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,812,1.6836358696092901e-12,1804,1697,2730,yes
78,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,61,2.392627762581867e-11,1781,1580,8191,yes
78,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,9687,1.9769126331607711e-11,1813,1675,2730,yes
78,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,202,1.0819733997635694e-11,1777,1677,1621,no
79,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,237,1.1906343966305855e-12,1797,1712,2730,yes
79,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,91,1.9117415983593844e-11,1769,1681,0,yes
79,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,154,8.4595802585241131e-12,1772,1704,8191,yes
79,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,313,6.3892086066275056e-12,1704,1698,8191,yes
80,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,229,2.4561012945678584e-12,1754,1654,8191,yes
80,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,370,8.9020527060945653e-12,1722,1618,8191,yes
80,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,89,9.8536873105459222e-12,1751,1610,2730,yes
80,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,264,1.351284362183236e-11,1712,1673,2730,yes
81,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,2424,8.462432143918619e-13,1719,1614,8191,yes
81,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,91,1.5922249629873875e-11,1725,1605,8191,yes
81,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,35,3.3966135459806424e-11,1758,1626,8191,yes
81,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,351,2.1082385837090101e-11,1825,1640,0,yes
82,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,150,2.17759664467021e-12,1774,1659,2730,yes
82,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,44,2.0563883929014537e-11,1800,1600,2730,yes
82,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,35,2.7448487927017595e-11,1755,1628,2730,yes
82,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,693,1.1706399738464768e-11,1755,1672,8191,yes
83,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,108,3.4062336284890193e-13,1716,1659,170,yes
83,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,23,1.911559799339102e-11,1817,1626,0,yes
83,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,35,4.6008807874642343e-11,1813,1565,2730,yes
83,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,1246,1.1871802152452204e-11,1753,1730,170,yes
84,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,870,3.4169455459531761e-12,1815,1642,8191,yes
84,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,31,2.7878324648789032e-11,1776,1598,8191,yes
84,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,20,2.807848398234114e-11,1755,1592,1024,yes
84,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,758,1.9517963634196889e-11,1799,1672,85,no
85,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,151,3.6685984111661796e-12,1780,1590,170,yes
85,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,68,2.2894505735671089e-11,1721,1546,85,no
85,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,30,1.904429391963447e-11,1745,1635,85,no
85,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,94,1.8285567504605638e-11,1768,1635,8191,yes
86,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,76,-7.4287104245840396e-13,1687,1667,2730,yes
86,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,22,1.3121170816532413e-12,1693,1624,8191,yes
86,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,68,2.9818175706353145e-11,1776,1596,0,yes
86,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,380,2.3822499528591834e-11,1725,1671,8191,yes
87,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,268,1.8970909912430223e-12,1750,1607,0,yes
87,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,47,1.7429752086073336e-11,1782,1577,0,yes
87,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,275,1.1599865165634604e-11,1763,1641,0,yes
87,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,648,7.071759844379244e-12,1742,1712,8191,yes
88,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,300,3.8621952858086672e-12,1764,1606,2730,yes
88,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,48,3.0555891150640946e-11,1743,1603,2730,yes
88,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,55,1.7188687972957695e-11,1780,1629,768,no
88,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,573,-6.2506250175786704e-13,1692,1768,0,yes
89,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,598,3.0449913424046571e-12,1792,1623,8191,yes
89,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,187,3.7466273139497019e-11,1850,1585,0,yes
89,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,28,3.7975067535001017e-11,1823,1596,2730,yes
89,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,412,2.3151425221357158e-11,1844,1671,2730,yes
90,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,1119,2.7367561342139801e-12,1808,1634,0,yes
90,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,343,1.5874211667377125e-12,1754,1637,2730,yes
90,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,22,2.2171903202305998e-11,1759,1611,0,yes
90,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,11499,6.2268059632109019e-12,1743,1699,2730,yes
91,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,280,1.4486085941900484e-12,1780,1635,2730,yes
91,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,90,1.3220841088568136e-11,1786,1654,2730,yes
91,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,19,-1.8817447600127934e-12,1716,1661,8191,yes
91,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,517,9.5967261914964297e-12,1736,1676,8191,yes
92,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,1508,2.1142514822214409e-12,1801,1654,2730,yes
92,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,41,1.3409440224876334e-11,1807,1630,8191,yes
92,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,35,1.7448736899794426e-11,1743,1625,0,yes
92,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,352,2.0400570122092176e-11,1826,1615,8191,yes
93,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,93,1.3072702642613621e-12,1804,1610,8191,yes
93,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,22,8.8672402753786628e-12,1740,1641,8191,yes
93,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,34,3.0337288237092253e-11,1782,1565,8191,yes
93,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,452,1.0800554894885295e-11,1705,1680,149,no
94,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,94,2.8399331497563907e-12,1794,1643,8191,yes
94,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,27,1.2300577223456344e-11,1777,1657,2730,yes
94,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,36,3.6697311855959924e-11,1844,1599,8191,yes
94,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,521,1.3469121651343841e-11,1818,1698,8191,yes
95,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,340,3.8731101659195133e-12,1784,1616,0,yes
95,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,78,1.7233572208175119e-11,1770,1581,2730,yes
95,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,70,9.4811658524207587e-12,1749,1602,8191,yes
95,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,112,4.8360065951769116e-12,1759,1718,8191,yes
96,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,340,3.3011302025265366e-12,1780,1603,0,yes
96,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,33,2.2633846186170814e-11,1754,1624,0,yes
96,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,70,1.7194939916365115e-11,1755,1584,0,yes
96,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,897,1.6896865850934972e-11,1828,1711,8191,yes
97,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,84,2.5441471845910613e-12,1769,1643,8191,yes
97,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,25,1.2890188916259149e-11,1778,1603,2730,yes
97,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,140,1.7454065970312627e-11,1783,1659,0,yes
97,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,225,5.1681298129935271e-12,1746,1693,8191,yes
98,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,42,2.4129170883568918e-12,1756,1658,0,yes
98,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,51,8.9836194039349948e-12,1793,1637,618,no
98,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,2244,7.1469791890210743e-12,1767,1681,149,no
98,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,1630,8.0604208203827188e-12,1810,1744,8191,yes
99,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,106,1.2147696043518508e-12,1682,1631,8191,yes
99,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,49,1.4494100364359497e-11,1697,1568,2730,yes
99,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,277,1.8117413819185302e-11,1756,1530,85,no
99,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,412,1.1770057151139213e-11,1698,1653,0,yes
100,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,45,4.7312952167199995e-12,1793,1582,575,no
100,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,101,1.8994819606099611e-11,1761,1654,2730,yes
100,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,68,7.8922424151528503e-12,1744,1660,170,yes
100,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,447,6.8155689425530852e-12,1757,1672,2730,yes
101,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,172,5.8354363008383814e-13,1704,1594,170,yes
101,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,1614,3.6422932378488149e-11,1789,1548,0,yes
101,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,69,6.3297284080832128e-12,1718,1622,2730,yes
101,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,467,3.83625423094891e-12,1737,1691,2730,yes
102,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,45,2.6867570668276386e-12,1774,1642,8191,yes
102,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,201,1.8864805551022101e-11,1761,1605,8191,yes
102,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,34,8.0758177922746199e-12,1740,1683,8191,yes
102,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,237,1.2297024509777543e-11,1724,1679,1024,yes
103,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,90,2.9236977422408827e-12,1761,1644,8191,yes
103,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,99,1.8639131904585327e-11,1802,1579,1365,yes
103,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,34,1.3731349390866399e-11,1748,1638,0,yes
103,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,116,1.0743961276205027e-11,1767,1678,2730,yes
104,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,56,3.0209793000501861e-12,1804,1598,0,yes
104,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,50,9.1508189914435434e-12,1717,1613,8191,yes
104,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,35,2.9428570691436562e-11,1803,1565,0,yes
104,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,737,9.0943606811944022e-12,1764,1687,8191,yes
105,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,216,4.0515230059767759e-12,1856,1545,0,yes
105,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,49,1.2812306771081694e-11,1780,1657,2730,yes
105,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,34,1.719230313668163e-11,1740,1611,2730,yes
105,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,113,7.8437117911889231e-12,1719,1694,8191,yes
106,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,107,7.5750170025479235e-14,1771,1657,0,yes
106,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,93,1.2803771931579888e-11,1762,1604,2730,yes
106,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,33,1.81301085255825e-11,1763,1655,8191,yes
106,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,133,6.6401745213440222e-12,1703,1669,8191,yes
107,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,29,3.2617034073645357e-12,1795,1571,0,yes
107,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,159,2.5441863893416183e-11,1768,1570,170,yes
107,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,34,8.9381557710765946e-12,1787,1602,1024,yes
107,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,900,8.5560586393640392e-12,1762,1720,8191,yes
108,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,30,4.5641268542340185e-12,1774,1544,8191,yes
108,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,334,3.7426332866186129e-11,1824,1600,2730,yes
108,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,42,2.3544777238981851e-12,1760,1621,0,yes
108,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,420,9.4678848094886803e-12,1701,1686,2730,yes
109,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,124,2.3876040033954382e-12,1770,1625,0,yes
109,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,83,5.0682055774409207e-11,1753,1547,0,yes
109,2,0.029999999999999999,0,0.20000000000000001,1,7.4505805969238281e-09,72,2.2245538744414262e-12,1735,1584,1152,no
109,3,0.029999999999999999,0.01,0.050000000000000003,5,7.4505805969238281e-09,165,1.4739084952530845e-11,1759,1704,2730,yes
110,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,241,1.4714280141547853e-12,1781,1625,0,yes
110,1,0,0,0.40000000000000002,0.25,7.4505805969238281e-09,43,3.5031894052295343e-11,1694,1537,618,no
110,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,208,4.2486070217506722e-11,1843,1565,8191,yes
110,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,247,2.2440230229570091e-11,1787,1645,85,no
111,0,-0.02,0.01,0.050000000000000003,0.25,9.3132257461547852e-10,59,2.0689595869871624e-12,1763,1603,618,no
111,1,0,0,0.40000000000000002,0.25,1.4901161193847656e-08,82,2.4515472984987241e-11,1781,1596,2730,yes
111,2,0.029999999999999999,0,0.20000000000000001,1,1.4901161193847656e-08,1475,1.8095831690739805e-11,1715,1569,2730,yes
111,3,0.029999999999999999,0.01,0.050000000000000003,5,3.7252902984619141e-09,165,1.3347781213646215e-11,1720,1622,0,yes
112,0,-0.02,0.01,0.050000000000000003,0.25,1.862645149230957e-09,817,1.6382295910458144e-12,1799,1613,2730,yes
