N,contract,rate,q,sigma,maturity,max_abs_x_error,max_ulp_x_error,signed_mean_x_error,positive_count,negative_count,worst_payload,formerly_hard_tail
56,3,0.029999999999999999,0.01,0.050000000000000003,5,3.6058650715661021e-09,873,-5.9362936719974319e-12,4026,4166,3178,no
57,0,-0.02,0.01,0.050000000000000003,0.25,8.1882017087555259e-10,169,-4.799363887939889e-13,4081,4111,3413,yes
57,1,0,0,0.40000000000000002,0.25,5.9905054359087773e-09,71,3.2700995835914345e-12,4093,4099,7679,yes
57,2,0.029999999999999999,0,0.20000000000000001,1,6.4084386472834994e-09,14,-1.5577240771474532e-11,4037,4155,256,no
57,3,0.029999999999999999,0.01,0.050000000000000003,5,3.5164779527467848e-09,331,1.1088842533650161e-13,4108,4084,4714,no
58,0,-0.02,0.01,0.050000000000000003,0.25,8.0749467870674978e-10,115,-1.1865542800027371e-12,4052,4140,2218,yes
58,1,0,0,0.40000000000000002,0.25,6.0281966410004363e-09,18,2.1204153308303935e-12,4081,4111,5461,yes
58,2,0.029999999999999999,0,0.20000000000000001,1,6.1267031489986736e-09,55,-2.243330145246593e-12,4081,4111,6912,no
58,3,0.029999999999999999,0.01,0.050000000000000003,5,3.4369647461066006e-09,171,3.4128424806973112e-13,4114,4078,256,no
59,0,-0.02,0.01,0.050000000000000003,0.25,7.4302965486087151e-10,135,-5.2803806799046336e-13,4122,4070,512,yes
59,1,0,0,0.40000000000000002,0.25,5.9574945804929326e-09,88,-4.2894399409996829e-12,4096,4096,3925,yes
59,2,0.029999999999999999,0,0.20000000000000001,1,6.4080589236634709e-09,14,-1.128183961788109e-12,4067,4125,2303,no
59,3,0.029999999999999999,0.01,0.050000000000000003,5,3.2925984552285341e-09,189,-3.288355524595198e-12,4116,4076,3498,no
60,0,-0.02,0.01,0.050000000000000003,0.25,8.0733030904398702e-10,180,-1.5148561550566642e-12,4064,4128,3498,no
60,1,0,0,0.40000000000000002,0.25,6.0428951545744556e-09,12,-8.7973950176822323e-12,4038,4154,4607,yes
60,2,0.029999999999999999,0,0.20000000000000001,1,5.9716154681005253e-09,7,1.1269025729573388e-11,4119,4073,2303,no
60,3,0.029999999999999999,0.01,0.050000000000000003,5,3.3005357555839507e-09,98,-1.3882585573821424e-12,4097,4095,7210,no
61,0,-0.02,0.01,0.050000000000000003,0.25,7.3533316953383517e-10,153,1.326925183066175e-12,4156,4036,5973,yes
61,1,0,0,0.40000000000000002,0.25,5.8399514977231076e-09,20,-3.0226336811172541e-12,4116,4076,2218,yes
61,2,0.029999999999999999,0,0.20000000000000001,1,5.4775825187717585e-09,14,-1.0471702820415357e-11,4000,4192,2303,no
61,3,0.029999999999999999,0.01,0.050000000000000003,5,3.3759383145579252e-09,385,-2.3949668874706568e-12,4084,4108,4437,yes
62,0,-0.02,0.01,0.050000000000000003,0.25,7.3894139924914434e-10,47,-1.0053014378988347e-12,4051,4141,4095,yes
62,1,0,0,0.40000000000000002,0.25,6.2353834605577924e-09,1238,3.4341070170463337e-12,4138,4054,256,no
62,2,0.029999999999999999,0,0.20000000000000001,1,6.411119246902572e-09,13,-5.5241897609480893e-12,4021,4171,4864,no
62,3,0.029999999999999999,0.01,0.050000000000000003,5,3.4241080446127574e-09,787,-8.2094053446945762e-12,4052,4140,469,no
63,0,-0.02,0.01,0.050000000000000003,0.25,7.5380020784260267e-10,245,-3.5642830715449365e-13,4048,4144,6912,no
63,1,0,0,0.40000000000000002,0.25,6.3572651834800836e-09,24,-3.5660215070359309e-12,4111,4081,2218,yes
63,2,0.029999999999999999,0,0.20000000000000001,1,6.656134017560596e-09,53,6.0908319936943328e-13,4062,4130,6912,no
63,3,0.029999999999999999,0.01,0.050000000000000003,5,3.3797539977504042e-09,460,-2.2714043548786531e-12,4084,4108,4437,yes
64,0,-0.02,0.01,0.050000000000000003,0.25,7.9391646793774658e-10,371,-2.8127809149802067e-12,3965,4227,512,yes
64,1,0,0,0.40000000000000002,0.25,6.0602934389346356e-09,46,-1.337879532595512e-11,4128,4064,512,yes
64,2,0.029999999999999999,0,0.20000000000000001,1,5.7740687165753351e-09,54,-2.2321003411071596e-11,4040,4152,3925,yes
64,3,0.029999999999999999,0.01,0.050000000000000003,5,3.1578848546255015e-09,95,-3.1189167993811202e-12,4110,4082,981,no
65,0,-0.02,0.01,0.050000000000000003,0.25,7.7645340856441526e-10,150,2.1935866238189304e-13,4122,4070,4864,no
65,1,0,0,0.40000000000000002,0.25,6.3459145765991021e-09,368,-2.2028988419389877e-12,4105,4087,6997,yes
65,2,0.029999999999999999,0,0.20000000000000001,1,5.8299021854326225e-09,26,-5.6047713756094026e-12,4030,4162,4095,yes
65,3,0.029999999999999999,0.01,0.050000000000000003,5,3.3903230280395174e-09,290,-1.8649827485759708e-13,4085,4107,512,yes
66,0,-0.02,0.01,0.050000000000000003,0.25,8.0114261388238868e-10,88,-4.2340022526314848e-13,4087,4105,512,yes
66,1,0,0,0.40000000000000002,0.25,5.6588618803612386e-09,46,-1.0181794468386762e-11,4057,4135,2389,yes
66,2,0.029999999999999999,0,0.20000000000000001,1,5.9863970932751207e-09,13,3.111453819505179e-13,4086,4106,1621,no
66,3,0.029999999999999999,0.01,0.050000000000000003,5,3.2706792614379023e-09,544,-1.3351667730182994e-11,4023,4169,3114,no
67,0,-0.02,0.01,0.050000000000000003,0.25,7.3741481571822912e-10,349,-1.1849215190972306e-13,4164,4028,5461,yes
67,1,0,0,0.40000000000000002,0.25,5.9420986493779432e-09,23,-2.8197593570079902e-12,4093,4099,3498,no
67,2,0.029999999999999999,0,0.20000000000000001,1,5.5387665967902489e-09,7,-6.5762777212611276e-13,4086,4106,4095,yes
67,3,0.029999999999999999,0.01,0.050000000000000003,5,3.0840719189149876e-09,340,4.3648468357584062e-13,4101,4091,7679,yes
68,0,-0.02,0.01,0.050000000000000003,0.25,6.5847107788360459e-10,87,6.2993301804416683e-14,4086,4106,3413,yes
68,1,0,0,0.40000000000000002,0.25,5.8789490626602445e-09,30,-2.2340002540251888e-11,3994,4198,3413,yes
68,2,0.029999999999999999,0,0.20000000000000001,1,5.6199017433864976e-09,7,-7.6194444344444755e-12,4115,4077,5119,yes
68,3,0.029999999999999999,0.01,0.050000000000000003,5,3.2207940298238465e-09,312,-6.205117233503188e-12,4051,4141,2218,yes
69,0,-0.02,0.01,0.050000000000000003,0.25,6.9987419293407016e-10,87,9.8431914916674277e-13,4071,4121,1365,yes
69,1,0,0,0.40000000000000002,0.25,5.7919706001371726e-09,30,4.8060216533602805e-12,4166,4026,2303,no
69,2,0.029999999999999999,0,0.20000000000000001,1,5.8705954218332504e-09,13,8.9895640547527949e-12,4102,4090,3413,yes
69,3,0.029999999999999999,0.01,0.050000000000000003,5,3.2709079447137563e-09,651,4.553187261030908e-12,4118,4074,3413,yes
70,0,-0.02,0.01,0.050000000000000003,0.25,7.1279795160723026e-10,86,1.146981146531785e-12,4085,4107,7680,yes
70,1,0,0,0.40000000000000002,0.25,5.8544408860971459e-09,15,-7.9623583475524895e-12,4086,4106,2218,yes
70,2,0.029999999999999999,0,0.20000000000000001,1,5.9873355153458195e-09,101,-2.4896718074990935e-12,4091,4101,3413,yes
70,3,0.029999999999999999,0.01,0.050000000000000003,5,3.1839092299709967e-09,151,-7.7913296373582346e-12,4025,4167,2218,yes
71,0,-0.02,0.01,0.050000000000000003,0.25,8.0434092169095228e-10,119,2.9307960115879198e-13,4148,4044,2218,yes
71,1,0,0,0.40000000000000002,0.25,5.4352973984052297e-09,11,-7.8639194133092096e-12,4027,4165,4949,yes
71,2,0.029999999999999999,0,0.20000000000000001,1,5.7826160469713771e-09,25,-4.209960333556798e-12,3986,4206,3072,yes
71,3,0.029999999999999999,0.01,0.050000000000000003,5,3.0368301326309486e-09,530,3.6091329541427043e-12,4145,4047,4181,no
72,0,-0.02,0.01,0.050000000000000003,0.25,7.4215149429715405e-10,178,-9.2371849197390066e-14,4089,4103,3413,yes
72,1,0,0,0.40000000000000002,0.25,6.1418580724420791e-09,78,6.6515292138082687e-12,4105,4087,2218,yes
72,2,0.029999999999999999,0,0.20000000000000001,1,5.8645924657116281e-09,13,8.6550107958329473e-12,4125,4067,4607,yes
72,3,0.029999999999999999,0.01,0.050000000000000003,5,3.2231840109354059e-09,744,3.5107071904416408e-12,4172,4020,6912,no
73,0,-0.02,0.01,0.050000000000000003,0.25,6.6063095749884505e-10,3938,-3.8206255568367822e-13,4044,4148,3584,yes
73,1,0,0,0.40000000000000002,0.25,5.8697510589237459e-09,6,-7.2173062599431819e-12,4017,4175,3413,yes
73,2,0.029999999999999999,0,0.20000000000000001,1,5.6514723304982431e-09,6,-1.7096563682314744e-12,4139,4053,3413,yes
73,3,0.029999999999999999,0.01,0.050000000000000003,5,3.2997059962169895e-09,135,-3.7728772224345233e-12,4074,4118,4181,no
74,0,-0.02,0.01,0.050000000000000003,0.25,7.1433335006046958e-10,360,-5.3781504829627568e-13,4097,4095,3072,yes
74,1,0,0,0.40000000000000002,0.25,6.0133507253204584e-09,5,-8.4133986908010037e-12,4053,4139,4437,yes
74,2,0.029999999999999999,0,0.20000000000000001,1,5.1657558446427884e-09,10,-2.6294697994113258e-12,4047,4145,1365,yes
74,3,0.029999999999999999,0.01,0.050000000000000003,5,2.858680857200755e-09,68,3.8110619590472084e-12,4192,4000,5973,yes
75,0,-0.02,0.01,0.050000000000000003,0.25,7.1266656417933631e-10,115,-2.872122544904538e-13,4049,4143,6997,yes
75,1,0,0,0.40000000000000002,0.25,5.3809792226767846e-09,6,-7.9786398639915176e-12,4053,4139,7679,yes
75,2,0.029999999999999999,0,0.20000000000000001,1,5.416398679776894e-09,9,-6.9810073318511598e-12,4064,4128,4095,yes
75,3,0.029999999999999999,0.01,0.050000000000000003,5,3.2893378224578331e-09,336,-5.4310938994400494e-12,4056,4136,512,yes
76,0,-0.02,0.01,0.050000000000000003,0.25,7.0783221000816835e-10,115,-1.9853323446189065e-12,3967,4225,5461,yes
76,1,0,0,0.40000000000000002,0.25,5.6415525549713288e-09,57,-8.7422472310102252e-12,4085,4107,2048,yes
76,2,0.029999999999999999,0,0.20000000000000001,1,5.643007585929506e-09,19,-5.6996792973015086e-12,4027,4165,6997,yes
76,3,0.029999999999999999,0.01,0.050000000000000003,5,3.0908093185366239e-09,157,1.0404735504335711e-12,4118,4074,2218,yes
77,0,-0.02,0.01,0.050000000000000003,0.25,6.7957651701080445e-10,130,-1.0656066424339027e-12,4059,4133,7679,yes
77,1,0,0,0.40000000000000002,0.25,5.7267797113608259e-09,9,-3.4994147407176427e-12,4057,4135,5119,yes
77,2,0.029999999999999999,0,0.20000000000000001,1,5.5609604460544369e-09,38,3.1848286958100951e-12,4092,4100,4437,yes
77,3,0.029999999999999999,0.01,0.050000000000000003,5,3.230919178356538e-09,91,-1.8237413428141162e-12,4099,4093,512,yes
78,0,-0.02,0.01,0.050000000000000003,0.25,7.0720079537757075e-10,220,-4.7068820727267643e-13,4063,4129,3072,yes
78,1,0,0,0.40000000000000002,0.25,5.3645808910610727e-09,13,-3.7630631675272362e-12,4096,4096,3413,yes
78,2,0.029999999999999999,0,0.20000000000000001,1,5.382016231033546e-09,2389,3.5573266779879045e-12,4100,4092,2048,yes
78,3,0.029999999999999999,0.01,0.050000000000000003,5,3.1526320530864337e-09,195,1.7742885582057693e-12,4144,4048,1621,no
79,0,-0.02,0.01,0.050000000000000003,0.25,7.1518273323297749e-10,85,-1.3787921592843921e-12,4089,4103,341,yes
79,1,0,0,0.40000000000000002,0.25,6.0479332954458447e-09,26,-6.7578798863979552e-12,4105,4087,4437,yes
79,2,0.029999999999999999,0,0.20000000000000001,1,4.7944590211747497e-09,37,-9.9562936424649525e-12,4087,4105,6997,yes
79,3,0.029999999999999999,0.01,0.050000000000000003,5,3.0841685936428739e-09,146,-1.7667443014174584e-12,4054,4138,2218,yes
80,0,-0.02,0.01,0.050000000000000003,0.25,7.2980859060305283e-10,85,2.0958876522005828e-13,4103,4089,3413,yes
80,1,0,0,0.40000000000000002,0.25,5.5742028177412251e-09,104,1.3207795589595457e-12,4098,4094,7680,yes
80,2,0.029999999999999999,0,0.20000000000000001,1,5.1054858283155283e-09,18,-9.9700983958575455e-12,4055,4137,2048,yes
80,3,0.029999999999999999,0.01,0.050000000000000003,5,2.8192590181929617e-09,181,-1.1810023808304938e-11,3999,4193,3072,yes
81,0,-0.02,0.01,0.050000000000000003,0.25,6.151604403138204e-10,1267,-5.9133148767466718e-13,4089,4103,2389,yes
81,1,0,0,0.40000000000000002,0.25,5.0488385419216492e-09,26,-6.1061210843932524e-12,4070,4122,8191,yes
81,2,0.029999999999999999,0,0.20000000000000001,1,5.7085198484328749e-09,9,3.1441600122688977e-12,4096,4096,341,yes
81,3,0.029999999999999999,0.01,0.050000000000000003,5,3.0876133410319618e-09,375,2.1240028418307282e-12,4114,4078,3413,yes
82,0,-0.02,0.01,0.050000000000000003,0.25,6.2686053887621141e-10,172,2.2239086841727462e-13,4100,4092,5461,yes
82,1,0,0,0.40000000000000002,0.25,5.468788285071072e-09,19,-2.3074235950655024e-12,4033,4159,341,yes
82,2,0.029999999999999999,0,0.20000000000000001,1,5.8180342505518764e-09,15,-1.4322347847534912e-12,4089,4103,341,yes
82,3,0.029999999999999999,0.01,0.050000000000000003,5,3.1728296266161835e-09,300,-1.6136664768456228e-12,4126,4066,6997,yes
83,0,-0.02,0.01,0.050000000000000003,0.25,6.2789018365506769e-10,85,-1.2560421114076429e-12,4062,4130,5119,yes
83,1,0,0,0.40000000000000002,0.25,5.6378306388088356e-09,38,-1.2069053818381391e-11,4098,4094,4095,yes
83,2,0.029999999999999999,0,0.20000000000000001,1,4.5537359337122372e-09,15,9.3716842554820946e-12,4117,4075,511,yes
83,3,0.029999999999999999,0.01,0.050000000000000003,5,2.6389043506397458e-09,325,2.0462826799393987e-12,4062,4130,4522,no
84,0,-0.02,0.01,0.050000000000000003,0.25,6.5746193918790838e-10,321,-1.1936839879384451e-12,4056,4136,2048,yes
84,1,0,0,0.40000000000000002,0.25,4.6761957612117594e-09,76,7.5012222863831321e-12,4127,4065,5119,yes
84,2,0.029999999999999999,0,0.20000000000000001,1,5.4766392234048686e-09,15,4.4165925125524048e-12,4069,4123,2389,yes
84,3,0.029999999999999999,0.01,0.050000000000000003,5,3.083060852098971e-09,306,4.5328432600010974e-12,4111,4081,3498,no
85,0,-0.02,0.01,0.050000000000000003,0.25,5.8170365899340126e-10,122,4.2339841373726026e-13,4149,4043,6826,yes
85,1,0,0,0.40000000000000002,0.25,4.9642455057261606e-09,302,-5.7341275046660484e-12,4005,4187,4095,yes
85,2,0.029999999999999999,0,0.20000000000000001,1,4.6950350740013738e-09,30,-5.1779474026922679e-12,3998,4194,4095,yes
85,3,0.029999999999999999,0.01,0.050000000000000003,5,3.2562776949486983e-09,57,4.0779300872380753e-13,4127,4065,512,yes
86,0,-0.02,0.01,0.050000000000000003,0.25,6.479873747569719e-10,74,-1.0099505045576371e-12,4024,4168,5119,yes
86,1,0,0,0.40000000000000002,0.25,5.4043377698160728e-09,75,-6.6299025664811827e-12,4078,4114,4095,yes
86,2,0.029999999999999999,0,0.20000000000000001,1,4.6146716578741422e-09,59,6.4306500729066969e-12,4179,4013,4437,yes
86,3,0.029999999999999999,0.01,0.050000000000000003,5,3.2926722313018485e-09,144,4.8801270164278872e-12,4118,4074,2218,yes
87,0,-0.02,0.01,0.050000000000000003,0.25,7.4539391622180647e-10,2359,2.8717134943863904e-13,4138,4054,3413,yes
87,1,0,0,0.40000000000000002,0.25,5.1174592746316871e-09,37,-7.0199608329464929e-12,4065,4127,4437,yes
87,2,0.029999999999999999,0,0.20000000000000001,1,4.9355603342771014e-09,232,-6.8577520448783297e-12,4000,4192,4437,yes
87,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9855276187951662e-09,624,2.0983588970397051e-12,4150,4042,3925,yes
88,0,-0.02,0.01,0.050000000000000003,0.25,5.6209808769540587e-10,171,7.4776295773771327e-13,4066,4126,1023,yes
88,1,0,0,0.40000000000000002,0.25,4.3105142534659839e-09,19,-3.8366536111840081e-13,4046,4146,3199,no
88,2,0.029999999999999999,0,0.20000000000000001,1,4.3786245186206811e-09,58,-1.8138060891832005e-12,4089,4103,3413,yes
88,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9603277380242908e-09,147,-7.8925339353422275e-12,4015,4177,3669,no
89,0,-0.02,0.01,0.050000000000000003,0.25,6.0592678736980198e-10,340,5.0152333387340127e-13,4110,4082,5119,yes
89,1,0,0,0.40000000000000002,0.25,4.6035611917645089e-09,70,-5.6933599026390309e-13,4147,4045,2048,yes
89,2,0.029999999999999999,0,0.20000000000000001,1,5.4768667889563858e-09,29,2.8508517538658724e-12,4134,4058,3072,yes
89,3,0.029999999999999999,0.01,0.050000000000000003,5,2.8010831237221654e-09,56,1.4149637257275768e-12,4130,4062,4607,yes
90,0,-0.02,0.01,0.050000000000000003,0.25,5.2742061943530819e-10,604,-8.6164780920624055e-13,4050,4142,4095,yes
90,1,0,0,0.40000000000000002,0.25,5.365052646812451e-09,139,-7.5892749628551376e-12,4078,4114,3413,yes
90,2,0.029999999999999999,0,0.20000000000000001,1,4.7335492623693105e-09,29,4.3146230433495898e-12,4142,4050,5461,yes
90,3,0.029999999999999999,0.01,0.050000000000000003,5,3.129136697134507e-09,287,2.3683532093819858e-13,4040,4152,2218,yes
91,0,-0.02,0.01,0.050000000000000003,0.25,5.9530692237248181e-10,150,-9.928295962155322e-14,4102,4090,2048,yes
91,1,0,0,0.40000000000000002,0.25,4.91280789406551e-09,34,-7.0966944764376677e-12,4027,4165,6826,yes
91,2,0.029999999999999999,0,0.20000000000000001,1,4.6567711223069797e-09,14,-1.028339537959487e-11,4056,4136,3072,yes
91,3,0.029999999999999999,0.01,0.050000000000000003,5,3.001668670050325e-09,364,-5.4555743963011503e-12,4064,4128,2218,yes
92,0,-0.02,0.01,0.050000000000000003,0.25,6.0491761718677514e-10,522,7.8548690533958634e-15,4034,4158,4778,yes
92,1,0,0,0.40000000000000002,0.25,5.0052178986021276e-09,20,-5.2584292859251493e-13,4028,4164,5461,yes
92,2,0.029999999999999999,0,0.20000000000000001,1,5.3230930504487775e-09,14,6.2501812576022028e-12,4116,4076,3413,yes
92,3,0.029999999999999999,0.01,0.050000000000000003,5,2.616266528503879e-09,187,3.5372087262988946e-12,4119,4073,2048,yes
93,0,-0.02,0.01,0.050000000000000003,0.25,6.7656420030442416e-10,80,-2.7606044574466914e-13,4050,4142,2389,yes
93,1,0,0,0.40000000000000002,0.25,5.1578156010687353e-09,20,1.9955424502394948e-12,4115,4077,4095,yes
93,2,0.029999999999999999,0,0.20000000000000001,1,5.4634058208644392e-09,14,-4.2635063845385187e-12,4066,4126,4095,yes
93,3,0.029999999999999999,0.01,0.050000000000000003,5,2.8984554942476253e-09,185,-3.3382721973628955e-13,4085,4107,5461,yes
94,0,-0.02,0.01,0.050000000000000003,0.25,7.0814835408861663e-10,158,1.643369365054686e-13,4085,4107,3413,yes
94,1,0,0,0.40000000000000002,0.25,4.6121760595878464e-09,40,3.0170282112771162e-12,4044,4148,1023,yes
94,2,0.029999999999999999,0,0.20000000000000001,1,5.5851512989529154e-09,9,-2.6839947757486779e-12,4091,4101,3413,yes
94,3,0.029999999999999999,0.01,0.050000000000000003,5,2.6622911835918773e-09,134,-2.2000261958130501e-13,4095,4097,4778,yes
95,0,-0.02,0.01,0.050000000000000003,0.25,5.2176521448497278e-10,101,-7.3396574354925346e-13,4115,4077,6527,no
95,1,0,0,0.40000000000000002,0.25,5.1301668680504712e-09,317,-1.8476427983602531e-12,4041,4151,3413,yes
95,2,0.029999999999999999,0,0.20000000000000001,1,5.300610126154223e-09,18,-2.564871158396768e-12,4104,4088,2389,yes
95,3,0.029999999999999999,0.01,0.050000000000000003,5,2.6335165421169625e-09,230,-6.2923117767166412e-14,4117,4075,4778,yes
96,0,-0.02,0.01,0.050000000000000003,0.25,6.6743320000622735e-10,102,-8.3636805177832804e-13,4078,4114,4095,yes
96,1,0,0,0.40000000000000002,0.25,4.9111982968570442e-09,79,-1.4311674849813488e-11,4015,4177,4778,yes
96,2,0.029999999999999999,0,0.20000000000000001,1,5.2167885166527481e-09,18,4.1392783186206586e-13,4101,4091,4778,yes
96,3,0.029999999999999999,0.01,0.050000000000000003,5,3.0067499433039715e-09,419,5.3486767172627459e-13,4102,4090,3413,yes
97,0,-0.02,0.01,0.050000000000000003,0.25,5.3227671362400945e-10,228,-6.8702132201466039e-13,4077,4115,4864,no
97,1,0,0,0.40000000000000002,0.25,4.8344258038436251e-09,20,-8.6314050541746474e-13,4066,4126,4095,yes
97,2,0.029999999999999999,0,0.20000000000000001,1,4.18114053741142e-09,36,-1.6308319713701456e-12,4078,4114,3199,no
97,3,0.029999999999999999,0.01,0.050000000000000003,5,2.7349194213882487e-09,64,-2.290598411650802e-12,4103,4089,3925,yes
98,0,-0.02,0.01,0.050000000000000003,0.25,5.545791560298983e-10,114,-8.7917757224012064e-14,4094,4098,5461,yes
98,1,0,0,0.40000000000000002,0.25,4.3563504277562683e-09,25,-9.0857201827413383e-12,4071,4121,1365,yes
98,2,0.029999999999999999,0,0.20000000000000001,1,4.7976765562949169e-09,568,5.3605715047167304e-13,4081,4111,2048,yes
98,3,0.029999999999999999,0.01,0.050000000000000003,5,2.5714593575904454e-09,13423,3.3951591506318415e-13,4064,4128,341,yes
99,0,-0.02,0.01,0.050000000000000003,0.25,5.8747053676700507e-10,434,-1.0192072584414869e-13,4050,4142,0,yes
99,1,0,0,0.40000000000000002,0.25,4.2952486270297954e-09,24,-2.6018395534653372e-12,4040,4152,5461,yes
99,2,0.029999999999999999,0,0.20000000000000001,1,4.3972410576406759e-09,71,-9.240678337732857e-12,4099,4093,4096,yes
99,3,0.029999999999999999,0.01,0.050000000000000003,5,2.7794936981140892e-09,279,2.3069870500160285e-12,4168,4024,5119,yes
100,0,-0.02,0.01,0.050000000000000003,0.25,5.2698245358116693e-10,108,2.9565483746548774e-13,4126,4066,1365,yes
100,1,0,0,0.40000000000000002,0.25,3.9244769548903786e-09,49,1.772615526966801e-12,4031,4161,6912,no
100,2,0.029999999999999999,0,0.20000000000000001,1,5.43808648056311e-09,17,-7.1547016918318907e-12,4072,4120,4095,yes
100,3,0.029999999999999999,0.01,0.050000000000000003,5,2.618226532685415e-09,727,-3.2954007767517469e-12,4084,4108,2048,yes
101,0,-0.02,0.01,0.050000000000000003,0.25,5.9848599240249624e-10,140,-6.2297265932870917e-13,4090,4102,4096,yes
101,1,0,0,0.40000000000000002,0.25,4.153491449932911e-09,774,1.8411881344397303e-12,4114,4078,4095,yes
101,2,0.029999999999999999,0,0.20000000000000001,1,5.4307039286884599e-09,17,-7.1158258155442071e-12,4081,4111,1365,yes
101,3,0.029999999999999999,0.01,0.050000000000000003,5,2.905094022012581e-09,142,-4.0910795965970347e-12,4131,4061,3413,yes
102,0,-0.02,0.01,0.050000000000000003,0.25,5.8713938137941025e-10,54,1.2242996943463876e-13,4124,4068,4096,yes
102,1,0,0,0.40000000000000002,0.25,4.135921467526529e-09,96,-5.4676739207785012e-12,4043,4149,4864,no
102,2,0.029999999999999999,0,0.20000000000000001,1,5.4911584577406257e-09,9,-4.6404814395998171e-12,4043,4149,1365,yes
102,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9022328105583065e-09,281,9.7199248177891061e-14,4137,4055,5461,yes
103,0,-0.02,0.01,0.050000000000000003,0.25,6.8679857527494461e-10,214,2.4661341495156355e-13,4094,4098,1365,yes
103,1,0,0,0.40000000000000002,0.25,4.7376890103244806e-09,48,-2.6715302926653328e-12,4062,4130,1365,yes
103,2,0.029999999999999999,0,0.20000000000000001,1,3.9559443831569968e-09,9,3.3739116321748011e-12,4110,4082,7616,no
103,3,0.029999999999999999,0.01,0.050000000000000003,5,2.869507441142143e-09,91,-1.85543274776104e-12,4076,4116,5119,yes
104,0,-0.02,0.01,0.050000000000000003,0.25,6.4550070115417256e-10,54,-6.8918909882843012e-14,4112,4080,3413,yes
104,1,0,0,0.40000000000000002,0.25,4.9965347674462323e-09,24,-1.1753224041774416e-11,4044,4148,8191,yes
104,2,0.029999999999999999,0,0.20000000000000001,1,4.8620836229052583e-09,9,4.2773139663638335e-12,4146,4046,4096,yes
104,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9055223681552095e-09,948,-4.0524737958674182e-12,4064,4128,4437,yes
105,0,-0.02,0.01,0.050000000000000003,0.25,6.9332478097870856e-10,26,-6.6590356343317026e-14,4118,4074,3413,yes
105,1,0,0,0.40000000000000002,0.25,3.8902766548092265e-09,24,2.7706347367231554e-12,4075,4117,4181,no
105,2,0.029999999999999999,0,0.20000000000000001,1,5.1277176817437118e-09,9,1.5772282519779591e-12,4045,4147,4778,yes
105,3,0.029999999999999999,0.01,0.050000000000000003,5,2.7746553374568853e-09,316,-1.0271018042986208e-12,4090,4102,5119,yes
106,0,-0.02,0.01,0.050000000000000003,0.25,5.7331082395133031e-10,16,2.2750202596984743e-13,4150,4042,6826,yes
106,1,0,0,0.40000000000000002,0.25,4.7306623434116324e-09,27,-2.5183745499933284e-12,4082,4110,3413,yes
106,2,0.029999999999999999,0,0.20000000000000001,1,4.8895395498019447e-09,9,-8.1377545113457509e-12,3993,4199,5461,yes
106,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9143018468270273e-09,89,-6.4159140158468748e-12,4100,4092,3413,yes
107,0,-0.02,0.01,0.050000000000000003,0.25,6.1186040566020939e-10,61,-1.3711850149781894e-13,4078,4114,4095,yes
107,1,0,0,0.40000000000000002,0.25,5.1934437258318122e-09,54,4.0161216778834717e-12,4078,4114,1365,yes
107,2,0.029999999999999999,0,0.20000000000000001,1,4.2691508904619005e-09,18,-3.2620343271215217e-13,4095,4097,4095,yes
107,3,0.029999999999999999,0.01,0.050000000000000003,5,2.1763270029855603e-09,103,1.7097868585894943e-13,4076,4116,8191,yes
108,0,-0.02,0.01,0.050000000000000003,0.25,6.05423543526488e-10,60,-2.9387288065068369e-13,4053,4139,8191,yes
108,1,0,0,0.40000000000000002,0.25,3.9629777026604205e-09,107,-2.5885499557935414e-12,4050,4142,5568,no
108,2,0.029999999999999999,0,0.20000000000000001,1,4.6183968546314532e-09,17,-1.1675963232575155e-12,4099,4093,4095,yes
108,3,0.029999999999999999,0.01,0.050000000000000003,5,2.6736106200050381e-09,397,-1.0628072299186712e-12,4080,4112,5461,yes
109,0,-0.02,0.01,0.050000000000000003,0.25,5.0371298860827895e-10,30,1.1663952470368687e-12,4133,4059,512,yes
109,1,0,0,0.40000000000000002,0.25,4.1494595970862114e-09,26,1.7496848635224887e-12,4029,4163,1365,yes
109,2,0.029999999999999999,0,0.20000000000000001,1,4.388414383817433e-09,35,-4.4693265534299805e-12,4113,4079,2730,yes
109,3,0.029999999999999999,0.01,0.050000000000000003,5,2.2203719922913323e-09,158,-1.0826361898191981e-12,4072,4120,0,yes
110,0,-0.02,0.01,0.050000000000000003,0.25,6.3315971712926163e-10,59,1.6186776258282923e-13,4142,4050,5461,yes
110,1,0,0,0.40000000000000002,0.25,4.4635012918844493e-09,15,8.1034333714337337e-12,4089,4103,4096,yes
110,2,0.029999999999999999,0,0.20000000000000001,1,5.0675785235998971e-09,70,-7.024132495201261e-12,4086,4106,1365,yes
110,3,0.029999999999999999,0.01,0.050000000000000003,5,2.9496498299925085e-09,241,8.5625948805037078e-13,4076,4116,3413,yes
111,0,-0.02,0.01,0.050000000000000003,0.25,5.3094427868161355e-10,18,7.7520740606920321e-13,4137,4055,5461,yes
111,1,0,0,0.40000000000000002,0.25,4.1157138959579729e-09,30,-1.0794609026943067e-12,4081,4111,2218,yes
